"API URL is not configured.","API URL není konfigurována."
"API password is not configured.","Heslo API není konfigurováno."
"API username is not configured.","Uživatelské jméno API není konfigurováno."
"API","API"
"Addressee Only Service","AddresseeOnlyService"
"Allowed Methods","Povolené metody"
"Applicable Countries","Použitelné země"
"City","Město"
"Client ID","Klientské ID"
"Client Reference","Reference klienta"
"Contact Service","ContactService"
"Content","Komentář"
"Could not create label.","Štítek nelze vytvořit."
"Could not resolve GLS API currency code.","Nelze rozpoznat měnový kód GLS API."
"Country","Země"
"Debug","Ladit"
"Delivery to Address Method","Způsob doručení na adresu"
"Delivery to Address","Doručení na adresu"
"Delivery to Parcel Locker Method","Způsob doručení do výdejního boxu"
"Delivery to Parcel Locker","Doručení do výdejního boxu"
"Delivery to Parcel Shop Method","Způsob doručení do výdejního místa"
"Delivery to Parcel Shop","Doručení do výdejního místa"
"Enabled","Povoleno"
"Exclude Discount Amount From Price Calculation","Vyloučit částku slevy z výpočtu ceny"
"Export CSV","Exportovat CSV"
"Export","Export"
"Express Delivery Service","ExpressService"
"Flexible Delivery SMS Service","FlexDeliverySMSService"
"Flexible Delivery Service","FlexDeliveryService"
"Free Shipping","Doprava zdarma"
"GLS API error.","Chyba GLS API."
"GLS Client ID is not configured.","Klientské ID GLS není konfigurováno."
"GLS","GLS"
"Guaranteed 24h Service","Guaranteed24Service"
"Import","Import"
"In production mode, debug logging needs to be enabled.","V produkčním režimu, je nutné povolit ladící záznamy."
"Include Virtual Products in Price Calculation","Zahrnout virtuální produkty do výpočtu ceny"
"Insurance Service","Pojišťovací služba"
"Invalid GLS Delivery Point.","Neplatné doručovací místo GLS."
"Magento currency converter needs to be configured.","Převodník měn Magento je třeba nakonfigurovat."
"Maximum Package Weight","Maximální váha balíku"
"Maximum text length is 130. Variables that can be used in the text of the SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#.","Minimální délka textu je 130 znaků. Proměnné, které mohou být použity v textu SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#."
"Method Name","Název metody"
"Method Price","Cena metody"
"Mode","Režim"
"Name","Jméno"
"No packages for request","Žádné balíky na vyžádání."
"Not available in Serbia.","V Srbsku není k dispozici."
"Not available without Flexible Delivery Service.","Není k dispozici bez služby FlexDeliveryService."
"Only in Serbia! Parcel info printed on label.","Pouze v Srbsku! Informace o balíku jsou vytištěny na štítku."
"Only in Serbia! REQUIRED.","Pouze v Srbsku! POVINNÉ."
"ParcelShop delivery data is missing.","Chybějící data o doručení do Parcel Shopu."
"Password","Heslo"
"Please select a GLS Delivery Point.","Vyberte prosím doručovací místo GLS."
"Print Position","Pozice tisku"
"Remove Delivery Point","Odebrat doručovací místo"
"SMS Pre-advice Service","SMSPreadviceService"
"SMS Service Text","Text SMS avizace"
"SMS Service","SMSService"
"Select Delivery Point","Vybrat doručovací místo"
"Sender Identity Card Number","Číslo občanského průkazu odesílatele"
"Services","Služby"
"Sort Order","Třídit podle"
"Specific Countries","Konkrétní země"
"Street Address","Ulice"
"The GLS tablerates CSV file is missing the following columns: %1","CSV soubor s tabulkami sazeb GLS postrádá následující sloupce: %1"
"The header row is missing from the GLS tablerates CSV file.","V CSV souboru s tabulkami sazeb GLS chybí záhlaví."
"This is required for API usage.","Vyžadováno pro používání API."
"Threshold Amount","Hraniční částka"
"Title","Název"
"Type of Printer","Typ tiskárny"
"Used only when the table rates are not configured, or as a fallback if table rates are not found.","Používá se pouze tehdy, pokud tabulkové sazby nejsou nastaveny, nebo jako záložní řešení, pokud nejsou tabulkové sazby nalezeny."
"Username","Uživatelské jméno"
"Variables that can be used: {increment_id}.","Proměnné, které lze použít: {increment_id}."
"Cannot find a GLS account to delete.","Nelze najít účet GLS k odstranění."
"The GLS account has been deleted.","Účet GLS byl odstraněn."
"Edit GLS Account","Upravit účet GLS"
"New GLS Account","Nový účet GLS"
"GLS Accounts","Účty GLS"
"Cannot find a GLS address to delete.","Nelze najít adresu GLS k odstranění."
"The GLS address has been deleted.","Adresa GLS byla odstraněna."
"Edit GLS Address","Upravit adresu GLS"
"New GLS Address","Nová adresa GLS"
"GLS Addresses","Adresy GLS"
"Invalid delivery point data.","Neplatná data doručovacího místa."
"New GLS Pickup Request","Nová žádost o vyzvednutí GLS"
"GLS Pickup Requests","Žádosti o vyzvednutí GLS"
"The GLS pickup request failed.","Žádost o vyzvednutí GLS selhala."
"GLS Pickup Request","Žádost o vyzvednutí GLS"
"GLS Parcel Status","Stav zásilky GLS"
"The account with the Id: ""%1"" does not exist.","Účet s ID: ""%1"" neexistuje."
"An account with the same data already exists.","Účet se stejnými údaji již existuje."
"Could not save the account: %1","Nelze uložit účet: %1"
"Could not delete the account: %1.","Nelze smazat účet: %1."
"The address with the Id: ""%1"" does not exist.","Adresa s ID: ""%1"" neexistuje."
"Could not save the address: %1","Nelze uložit adresu: %1"
"Could not delete the address: %1.","Nelze smazat adresu: %1."
"This is required for API usage. <a href=""%1"">Create account</a>.","Toto je vyžadováno pro použití API. <a href=""%1"">Vytvořit účet</a>."
"If not selected, the Shipping Settings Origin address will be used. <a href=""%1"">Create address</a>.","Pokud není vybráno, bude použita výchozí adresa odeslání. <a href=""%1"">Vytvořit adresu</a>."
"-- Please Select --","-- Prosím vyberte --"
"The pickup request with the Id: ""%1"" does not exist.","Žádost o vyzvednutí s ID: ""%1"" neexistuje."
"Could not save the pickup request: %1","Nelze uložit žádost o vyzvednutí: %1"
"Could not delete the pickup request: %1.","Nelze smazat žádost o vyzvednutí: %1."
"Are you sure you want to delete this record?","Opravdu chcete tento záznam smazat?"
Delete,"Smazat"
Edit,"Upravit"
View,"Zobrazit"
"Change Delivery Point","Změnit doručovací místo"
"GLS Options","Možnosti GLS"
"COD Reference","Reference na dobírku"
"Get GLS Parcel Status","Získat stav zásilky GLS"
"Parcel Number","Číslo zásilky"
